785M	.
1.1M	./.venv/Lib/site-packages/pip/_vendor/chardet/__pycache__
1.1M	./.venv/Lib/site-packages/pandas/tests/series
1.1M	./.venv/Lib/site-packages/pandas/io/formats
1.1M	./.venv/Lib/site-packages/pandas/_libs/join.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/pandas/_libs/interval.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/numpy/typing/tests
1.1M	./.venv/Lib/site-packages/numpy/typing
1.1M	./.venv/Lib/site-packages/numpy/core/__pycache__
1.1M	./.venv/Lib/site-packages/joblib/test
1021K	./.venv/Lib/site-packages/sklearn/metrics/tests
1016K	./.venv/Lib/site-packages/scipy/stats/_boost/nbinom_ufunc.cp312-win_amd64.pyd
1012K	./.venv/Lib/site-packages/scipy/stats/_boost/ncx2_ufunc.cp312-win_amd64.pyd
1012K	./.venv/Lib/site-packages/scipy/stats/_boost/ncf_ufunc.cp312-win_amd64.pyd
1012K	./.venv/Lib/site-packages/scipy/stats/_boost/binom_ufunc.cp312-win_amd64.pyd
1008K	./.venv/Lib/site-packages/scipy/stats/_boost/invgauss_ufunc.cp312-win_amd64.pyd
1008K	./.venv/Lib/site-packages/scipy/optimize/_group_columns.cp312-win_amd64.pyd
1000K	./.venv/Lib/site-packages/scipy/signal/__pycache__
1000K	./.venv/Lib/site-packages/numpy/lib/__pycache__
994K	./.venv/Lib/site-packages/scipy/sparse/linalg/_eigen/arpack
994K	./.venv/Lib/site-packages/numpy/typing/tests/data
988K	./.venv/Lib/site-packages/statsmodels/tsa/stl
988K	./.venv/Lib/site-packages/scipy/signal/_spectral.cp312-win_amd64.pyd
987K	./.venv/Lib/site-packages/pip/_vendor/urllib3
985K	./.venv/Lib/site-packages/numpy/ma/tests
984K	./.venv/Lib/site-packages/scipy/signal/_max_len_seq_inner.cp312-win_amd64.pyd
980K	./.venv/Lib/site-packages/scipy/stats/_boost/hypergeom_ufunc.cp312-win_amd64.pyd
969K	./.venv/Lib/site-packages/scipy/signal/tests/__pycache__
964K	./.venv/Lib/site-packages/pandas/tests/indexes/datetimes
961K	./.venv/Lib/site-packages/scipy/special/tests/__pycache__
953K	./.venv/Lib/site-packages/statsmodels/nonparametric
928K	./.venv/Lib/site-packages/scipy/optimize/_highs/_highs_constants.cp312-win_amd64.pyd
926K	./.venv/Lib/site-packages/scipy/linalg/tests/__pycache__
895K	./.venv/Lib/site-packages/sklearn/cluster/_hdbscan
893K	./.venv/Lib/site-packages/scipy/sparse/tests
892K	./.venv/Lib/site-packages/scipy/special/_ufuncs.pyx
891K	./.venv/Lib/site-packages/statsmodels/graphics
888K	./.venv/Lib/site-packages/pip/_vendor/pyparsing
885K	./.venv/Lib/site-packages/pandas/tests/frame/__pycache__
884K	./.venv/Lib/site-packages/scipy/spatial/transform/_rotation.cp312-win_amd64.pyd
883K	./.venv/Lib/site-packages/sklearn/manifold
881K	./.venv/Lib/site-packages/scipy/sparse/linalg/tests
873K	./.venv/Lib/site-packages/patsy/__pycache__
868K	./.venv/Lib/site-packages/pandas/_libs/tslibs/offsets.cp312-win_amd64.pyd
860K	./.venv/Lib/site-packages/sklearn/utils/__pycache__
860K	./.venv/Lib/site-packages/pandas/tests/groupby/__pycache__
841K	./.venv/Lib/site-packages/statsmodels/tsa/statespace/_smoothers
836K	./.venv/Lib/site-packages/click
826K	./.venv/Lib/site-packages/pandas/core/groupby
812K	./.venv/Lib/site-packages/pandas/_libs/sparse.cp312-win_amd64.pyd
809K	./.venv/Lib/site-packages/pandas/tests/arithmetic
806K	./.venv/Lib/site-packages/dateutil
803K	./.venv/Lib/site-packages/flask
800K	./.venv/Lib/site-packages/pandas/core/arrays/__pycache__
786K	./.venv/Lib/site-packages/statsmodels/gam/tests
785K	./.venv/Lib/site-packages/scipy/fftpack/tests
784K	./.venv/Lib/site-packages/scipy/sparse/linalg/_eigen/arpack/_arpack.cp312-win_amd64.pyd
775K	./.venv/Lib/site-packages/scipy/odr
773K	./.venv/Lib/site-packages/statsmodels/sandbox/distributions
771K	./.venv/Lib/site-packages/scipy/ndimage/tests
766K	./.venv/Lib/site-packages/sklearn/model_selection/tests
765K	./.venv/Lib/site-packages/sklearn/utils/tests/__pycache__
762K	./.venv/Lib/site-packages/statsmodels/datasets/randhie
762K	./.venv/Lib/site-packages/scipy/io/tests
762K	./.venv/Lib/site-packages/numpy/f2py/tests
759K	./.venv/Lib/site-packages/statsmodels/tools
757K	./.venv/Lib/site-packages/sklearn/preprocessing/tests
756K	./.venv/Lib/site-packages/sklearn/.libs
756K	./.venv/Lib/site-packages/scipy/special/__pycache__
752K	./.venv/Lib/site-packages/statsmodels/genmod/tests/results/inv_gaussian.csv
752K	./.venv/Lib/site-packages/statsmodels/datasets/randhie/randhie.csv
749K	./.venv/Lib/site-packages/statsmodels/stats/tests/__pycache__
744K	./.venv/Lib/site-packages/sklearn/datasets/tests
744K	./.venv/Lib/site-packages/scipy/linalg/_interpolative.cp312-win_amd64.pyd
742K	./.venv/Lib/site-packages/statsmodels/tsa/stl/tests
741K	./.venv/Lib/site-packages/sklearn/tests/__pycache__
737K	./.venv/Lib/site-packages/pandas/tests/io/__pycache__
728K	./.venv/Lib/site-packages/sklearn/linear_model/__pycache__
728K	./.venv/Lib/site-packages/scipy/sparse/_csparsetools.cp312-win_amd64.pyd
725K	./.venv/Lib/site-packages/statsmodels/tsa/exponential_smoothing
725K	./.venv/Lib/site-packages/statsmodels/tsa/arima
723K	./.venv/Lib/site-packages/pandas/tests/indexes/multi
717K	./.venv/Lib/site-packages/statsmodels/tsa/statespace/_filters
716K	./.venv/Lib/site-packages/jinja2/__pycache__
709K	./.venv/Lib/site-packages/pandas/core/indexes/__pycache__
704K	./.venv/Lib/site-packages/statsmodels/tsa/statespace/_kalman_filter.cp312-win_amd64.pyd
704K	./.venv/Lib/site-packages/scipy/linalg/cython_lapack.pyx
704K	./.venv/Lib/site-packages/pandas/_libs/index.cp312-win_amd64.pyd
688K	./.venv/Lib/site-packages/pandas/plotting
